Year,Team,StarPresence
2016,Boston Celtics,0
2016,Brooklyn Nets,0
2016,Charlotte Hornets,0
2016,Chicago Bulls,0
2016,Cleveland Cavaliers,1
2016,Dallas Mavericks,0
2016,Denver Nuggets,0
2016,Detroit Pistons,1
2016,Golden State Warriors,1
2016,Houston Rockets,0
2016,Indiana Pacers,1
2016,Los Angeles Clippers,1
2016,Los Angeles Lakers,0
2016,Memphis Grizzlies,0
2016,Miami Heat,0
2016,Milwaukee Bucks,0
2016,Minnesota Timberwolves,0
2016,New Orleans Pelicans,0
2016,New York Knicks,0
2016,Oklahoma City Thunder,1
2016,Orlando Magic,0
2016,Philadelphia 76ers,0
2016,Phoenix Suns,0
2016,Portland Trail Blazers,1
2016,Sacramento Kings,1
2016,San Antonio Spurs,1
2016,Toronto Raptors,1
2016,Utah Jazz,0
2016,Washington Wizards,0
2017,Atlanta Hawks,0
2017,Boston Celtics,1
2017,Brooklyn Nets,0
2017,Charlotte Hornets,0
2017,Chicago Bulls,1
2017,Cleveland Cavaliers,1
2017,Dallas Mavericks,0
2017,Denver Nuggets,0
2017,Detroit Pistons,0
2017,Golden State Warriors,1
2017,Houston Rockets,1
2017,Indiana Pacers,0
2017,Los Angeles Clippers,1
2017,Los Angeles Lakers,0
2017,Memphis Grizzlies,0
2017,Miami Heat,0
2017,Milwaukee Bucks,1
2017,Minnesota Timberwolves,0
2017,New Orleans Pelicans,1
2017,New York Knicks,0
2017,Oklahoma City Thunder,1
2017,Orlando Magic,0
2017,Philadelphia 76ers,0
2017,Phoenix Suns,0
2017,Portland Trail Blazers,0
2017,Sacramento Kings,0
2017,San Antonio Spurs,1
2017,Toronto Raptors,1
2017,Utah Jazz,1
2017,Washington Wizards,1
2018,Atlanta Hawks,0
2018,Boston Celtics,1
2018,Brooklyn Nets,0
2018,Charlotte Hornets,0
2018,Chicago Bulls,0
2018,Cleveland Cavaliers,1
2018,Dallas Mavericks,0
2018,Denver Nuggets,0
2018,Detroit Pistons,0
2018,Golden State Warriors,1
2018,Houston Rockets,1
2018,Indiana Pacers,1
2018,Los Angeles Clippers,0
2018,Los Angeles Lakers,0
2018,Memphis Grizzlies,0
2018,Miami Heat,0
2018,Milwaukee Bucks,1
2018,Minnesota Timberwolves,1
2018,New Orleans Pelicans,1
2018,New York Knicks,0
2018,Oklahoma City Thunder,1
2018,Orlando Magic,0
2018,Philadelphia 76ers,0
2018,Phoenix Suns,0
2018,Portland Trail Blazers,1
2018,Sacramento Kings,0
2018,San Antonio Spurs,1
2018,Toronto Raptors,1
2018,Utah Jazz,0
2018,Washington Wizards,0
2019,Atlanta Hawks,0
2019,Boston Celtics,1
2019,Brooklyn Nets,0
2019,Charlotte Hornets,1
2019,Chicago Bulls,0
2019,Cleveland Cavaliers,0
2019,Dallas Mavericks,0
2019,Denver Nuggets,1
2019,Detroit Pistons,1
2019,Golden State Warriors,1
2019,Houston Rockets,1
2019,Indiana Pacers,0
2019,Los Angeles Clippers,0
2019,Los Angeles Lakers,1
2019,Memphis Grizzlies,0
2019,Miami Heat,0
2019,Milwaukee Bucks,1
2019,Minnesota Timberwolves,0
2019,New Orleans Pelicans,0
2019,New York Knicks,0
2019,Oklahoma City Thunder,1
2019,Orlando Magic,0
2019,Philadelphia 76ers,0
2019,Phoenix Suns,0
2019,Portland Trail Blazers,1
2019,Sacramento Kings,0
2019,San Antonio Spurs,0
2019,Toronto Raptors,1
2019,Utah Jazz,1
2019,Washington Wizards,0
2020,Atlanta Hawks,0
2020,Boston Celtics,1
2020,Brooklyn Nets,0
2020,Charlotte Hornets,0
2020,Chicago Bulls,0
2020,Cleveland Cavaliers,0
2020,Dallas Mavericks,1
2020,Denver Nuggets,1
2020,Detroit Pistons,0
2020,Golden State Warriors,0
2020,Houston Rockets,1
2020,Indiana Pacers,0
2020,Los Angeles Clippers,1
2020,Los Angeles Lakers,1
2020,Memphis Grizzlies,0
2020,Miami Heat,1
2020,Milwaukee Bucks,1
2020,Minnesota Timberwolves,0
2020,New Orleans Pelicans,0
2020,New York Knicks,0
2020,Oklahoma City Thunder,1
2020,Orlando Magic,0
2020,Philadelphia 76ers,0
2020,Phoenix Suns,0
2020,Portland Trail Blazers,1
2020,Sacramento Kings,0
2020,San Antonio Spurs,0
2020,Toronto Raptors,1
2020,Utah Jazz,1
2020,Washington Wizards,0
2021,Atlanta Hawks,0
2021,Boston Celtics,1
2021,Brooklyn Nets,1
2021,Charlotte Hornets,0
2021,Chicago Bulls,0
2021,Cleveland Cavaliers,0
2021,Dallas Mavericks,1
2021,Denver Nuggets,1
2021,Detroit Pistons,0
2021,Golden State Warriors,1
2021,Houston Rockets,0
2021,Indiana Pacers,0
2021,Los Angeles Clippers,1
2021,Los Angeles Lakers,1
2021,Memphis Grizzlies,0
2021,Miami Heat,1
2021,Milwaukee Bucks,1
2021,Minnesota Timberwolves,0
2021,New Orleans Pelicans,0
2021,New York Knicks,1
2021,Oklahoma City Thunder,0
2021,Orlando Magic,0
2021,Philadelphia 76ers,0
2021,Phoenix Suns,1
2021,Portland Trail Blazers,1
2021,Sacramento Kings,0
2021,San Antonio Spurs,0
2021,Toronto Raptors,0
2021,Utah Jazz,1
2021,Washington Wizards,1
2022,Atlanta Hawks,1
2022,Boston Celtics,1
2022,Brooklyn Nets,1
2022,Charlotte Hornets,0
2022,Chicago Bulls,1
2022,Cleveland Cavaliers,0
2022,Dallas Mavericks,1
2022,Denver Nuggets,1
2022,Detroit Pistons,0
2022,Golden State Warriors,1
2022,Houston Rockets,0
2022,Indiana Pacers,0
2022,Los Angeles Clippers,0
2022,Los Angeles Lakers,1
2022,Memphis Grizzlies,1
2022,Miami Heat,0
2022,Milwaukee Bucks,1
2022,Minnesota Timberwolves,1
2022,New Orleans Pelicans,0
2022,New York Knicks,0
2022,Oklahoma City Thunder,0
2022,Orlando Magic,0
2022,Philadelphia 76ers,0
2022,Phoenix Suns,1
2022,Portland Trail Blazers,0
2022,Sacramento Kings,0
2022,San Antonio Spurs,0
2022,Toronto Raptors,1
2022,Utah Jazz,0
2022,Washington Wizards,0
2023,Atlanta Hawks,0
2023,Boston Celtics,1
2023,Brooklyn Nets,0
2023,Charlotte Hornets,0
2023,Chicago Bulls,0
2023,Cleveland Cavaliers,1
2023,Dallas Mavericks,1
2023,Denver Nuggets,1
2023,Detroit Pistons,0
2023,Golden State Warriors,1
2023,Houston Rockets,0
2023,Indiana Pacers,0
2023,Los Angeles Clippers,0
2023,Los Angeles Lakers,1
2023,Memphis Grizzlies,0
2023,Miami Heat,1
2023,Milwaukee Bucks,1
2023,Minnesota Timberwolves,0
2023,New Orleans Pelicans,0
2023,New York Knicks,1
2023,Oklahoma City Thunder,1
2023,Orlando Magic,0
2023,Philadelphia 76ers,0
2023,Phoenix Suns,0
2023,Portland Trail Blazers,1
2023,Sacramento Kings,1
2023,San Antonio Spurs,0
2023,Toronto Raptors,0
2023,Utah Jazz,0
2023,Washington Wizards,0
2024,Atlanta Hawks,0
2024,Boston Celtics,1
2024,Brooklyn Nets,0
2024,Charlotte Hornets,0
2024,Chicago Bulls,0
2024,Cleveland Cavaliers,0
2024,Dallas Mavericks,1
2024,Denver Nuggets,1
2024,Detroit Pistons,0
2024,Golden State Warriors,1
2024,Houston Rockets,0
2024,Indiana Pacers,1
2024,Los Angeles Clippers,1
2024,Los Angeles Lakers,1
2024,Memphis Grizzlies,0
2024,Miami Heat,0
2024,Milwaukee Bucks,1
2024,Minnesota Timberwolves,1
2024,New Orleans Pelicans,0
2024,New York Knicks,1
2024,Oklahoma City Thunder,1
2024,Orlando Magic,0
2024,Philadelphia 76ers,0
2024,Phoenix Suns,1
2024,Portland Trail Blazers,0
2024,Sacramento Kings,1
2024,San Antonio Spurs,0
2024,Toronto Raptors,0
2024,Utah Jazz,0
2024,Washington Wizards,0
2025,Atlanta Hawks,0
2025,Boston Celtics,1
2025,Brooklyn Nets,0
2025,Charlotte Hornets,0
2025,Chicago Bulls,0
2025,Cleveland Cavaliers,1
2025,Dallas Mavericks,0
2025,Denver Nuggets,1
2025,Detroit Pistons,1
2025,Golden State Warriors,1
2025,Houston Rockets,0
2025,Indiana Pacers,1
2025,Los Angeles Clippers,1
2025,Los Angeles Lakers,1
2025,Memphis Grizzlies,0
2025,Miami Heat,0
2025,Milwaukee Bucks,1
2025,Minnesota Timberwolves,1
2025,New Orleans Pelicans,0
2025,New York Knicks,1
2025,Oklahoma City Thunder,1
2025,Orlando Magic,0
2025,Philadelphia 76ers,0
2025,Phoenix Suns,0
2025,Portland Trail Blazers,0
2025,Sacramento Kings,0
2025,San Antonio Spurs,0
2025,Toronto Raptors,0
2025,Utah Jazz,0
2025,Washington Wizards,0
